Trade,Cumulative PnL INR,Peak,Drawdown,Drawdown %
1153,577171.5,581991,-4819.5,-0.828105589
1154,572886,581991,-9105,-1.564457182
1155,576802.5,581991,-5188.5,-0.891508632
1156,588153,588153,0,0
1157,584647.5,588153,-3505.5,-0.596018383
1158,585037.5,588153,-3115.5,-0.529709106
1159,582298.5,588153,-5854.5,-0.995404257
1160,584563.5,588153,-3589.5,-0.610300381
1161,589461,589461,0,0
1162,589161,589461,-300,-0.050893952
1163,580497,589461,-8964,-1.520711294
1164,579553.5,589461,-9907.5,-1.680772774
1165,579673.5,589461,-9787.5,-1.660415193
1166,586170,589461,-3291,-0.558306656
1167,582948,589461,-6513,-1.104907704
1168,578712,589461,-10749,-1.82353031
1169,579396,589461,-10065,-1.707492099
1170,572266.5,589461,-17194.5,-2.916986874
1171,571747.5,589461,-17713.5,-3.005033412
1172,577489.5,589461,-11971.5,-2.030923165
1173,577578,589461,-11883,-2.015909449
1174,576838.5,589461,-12622.5,-2.141363042
1175,573361.5,589461,-16099.5,-2.731223949
1176,570486,589461,-18975,-3.219042481
1177,569293.5,589461,-20167.5,-3.421345941
1178,568138.5,589461,-21322.5,-3.617287658
1179,573414,589461,-16047,-2.722317507
1180,573145.5,589461,-16315.5,-2.767867594
1181,592207.5,592207.5,0,0
1182,595431,595431,0,0
1183,589843.5,595431,-5587.5,-0.938395885
1184,599940,599940,0,0
1185,606784.5,606784.5,0,0
1186,612534,612534,0,0
1187,608644.5,612534,-3889.5,-0.63498516
1188,609208.5,612534,-3325.5,-0.542908639
1189,610086,612534,-2448,-0.399651285
1190,607510.5,612534,-5023.5,-0.82011774
1191,607174.5,612534,-5359.5,-0.874971838
1192,601470,612534,-11064,-1.806267081
1193,604203,612534,-8331,-1.360087767
1194,599368.5,612534,-13165.5,-2.149350077
1195,601017,612534,-11517,-1.880222159
1196,597885,612534,-14649,-2.391540714
1197,595479,612534,-17055,-2.784335237
1198,598218,612534,-14316,-2.337176385
1199,598069.5,612534,-14464.5,-2.361419938
1200,595170,612534,-17364,-2.834781416
1201,590199,612534,-22335,-3.646328204
1202,590989.5,612534,-21544.5,-3.517274143
1203,589611,612534,-22923,-3.742322875
1204,586059,612534,-26475,-4.322209053
1205,584365.5,612534,-28168.5,-4.598683502
1206,584631,612534,-27903,-4.555338969
1207,579064.5,612534,-33469.5,-5.46410485
1208,576613.5,612534,-35920.5,-5.864245903
1209,578551.5,612534,-33982.5,-5.547855303
1210,577930.5,612534,-34603.5,-5.64923743
1211,575160,612534,-37374,-6.101538853
1212,589176,612534,-23358,-3.813339341
1213,585981,612534,-26553,-4.33494304
1214,587025,612534,-25509,-4.164503521
1215,583146,612534,-29388,-4.797774491
1216,579591,612534,-32943,-5.378150437
1217,573058.5,612534,-39475.5,-6.44462185
1218,601833,612534,-10701,-1.747005064
1219,597073.5,612534,-15460.5,-2.524023156
1220,607275,612534,-5259,-0.858564586
1221,596173.5,612534,-16360.5,-2.670953776
1222,588541.5,612534,-23992.5,-3.916925428
